cell_type,gene,rank
Astrocyte,MALAT1,1
Astrocyte,LSAMP,2
Astrocyte,DPP10,3
Astrocyte,SLC1A2,4
Astrocyte,CTNNA2,5
Astrocyte,MACF1,6
Astrocyte,GPM6A,7
Astrocyte,PCDH9,8
Astrocyte,PITPNC1,9
Astrocyte,NRXN1,10
Astrocyte,NPAS3,11
Astrocyte,NRG3,12
Astrocyte,GPC5,13
Astrocyte,NTM,14
Astrocyte,LRP1B,15
Astrocyte,RORA,16
Astrocyte,CTNND2,17
Astrocyte,ADGRV1,18
Astrocyte,DST,19
Astrocyte,SORBS1,20
Astrocyte,DTNA,21
Astrocyte,MT-ND4,22
Astrocyte,PPP2R2B,23
Astrocyte,NEAT1,24
Astrocyte,MMD2,25
Astrocyte,SYNE1,26
Astrocyte,MSI2,27
Astrocyte,ADGRB3,28
Astrocyte,SLC1A3,29
Astrocyte,CADM2,30
Astrocyte,ELOVL5,31
Astrocyte,OBI1-AS1,32
Astrocyte,ZBTB20,33
Astrocyte,ERBB4,34
Astrocyte,MT-CO3,35
Astrocyte,MAGI2,36
Astrocyte,TPD52L1,37
Astrocyte,MIR99AHG,38
Astrocyte,QKI,39
Astrocyte,LUC7L3,40
Astrocyte,SOX5,41
Astrocyte,RYR3,42
Astrocyte,ABLIM1,43
Astrocyte,HSP90AA1,44
Astrocyte,ANK2,45
Astrocyte,PRKCA,46
Astrocyte,NTRK2,47
Astrocyte,WWOX,48
Astrocyte,TNIK,49
Astrocyte,TENM2,50
Astrocyte,TNRC6A,51
Astrocyte,ADGRL3,52
Astrocyte,ZSWIM6,53
Astrocyte,LINC00486,54
Astrocyte,MT-CO2,55
Astrocyte,CACNB2,56
Astrocyte,NFIA,57
Astrocyte,CADM1,58
Astrocyte,TRPM3,59
Astrocyte,SLC4A4,60
Astrocyte,SGIP1,61
Astrocyte,NKAIN3,62
Astrocyte,ARGLU1,63
Astrocyte,GRID2,64
Astrocyte,MT-ATP6,65
Astrocyte,LINC03051,66
Astrocyte,MAPK10,67
Astrocyte,PNISR,68
Astrocyte,NEBL,69
Astrocyte,FMN2,70
Astrocyte,GFAP,71
Astrocyte,HPSE2,72
Astrocyte,AHCYL2,73
Astrocyte,RBM25,74
Astrocyte,SAMD4A,75
Astrocyte,BTBD9,76
Astrocyte,DOCK4,77
Astrocyte,CDH20,78
Astrocyte,NAV3,79
Astrocyte,DLG2,80
Astrocyte,FMNL2,81
Astrocyte,FBXL7,82
Astrocyte,SPARCL1,83
Astrocyte,ZNF98,84
Astrocyte,ADCY2,85
Astrocyte,MT-ND3,86
Astrocyte,ENSG00000271860,87
Astrocyte,OPHN1,88
Astrocyte,MT-CO1,89
Astrocyte,TRPS1,90
Astrocyte,SIK3,91
Astrocyte,PARD3,92
Astrocyte,BAZ2B,93
Astrocyte,PRKG1,94
Astrocyte,RFX4,95
Astrocyte,NALF1,96
Astrocyte,GLIS3,97
Astrocyte,XIST,98
Astrocyte,NAV2,99
Astrocyte,PRRC2C,100
Endothelial,MALAT1,1
Endothelial,PTPRG,2
Endothelial,ATP10A,3
Endothelial,FLT1,4
Endothelial,ARL15,5
Endothelial,ST6GALNAC3,6
Endothelial,MECOM,7
Endothelial,NEAT1,8
Endothelial,THSD4,9
Endothelial,SLC39A10,10
Endothelial,HSP90AA1,11
Endothelial,PDE4D,12
Endothelial,HERC2P3,13
Endothelial,ABCB1,14
Endothelial,MACF1,15
Endothelial,SYNE1,16
Endothelial,PTPRM,17
Endothelial,ELOVL7,18
Endothelial,NXN,19
Endothelial,STOX2,20
Endothelial,VWF,21
Endothelial,COBLL1,22
Endothelial,BMPR2,23
Endothelial,LRMDA,24
Endothelial,UTRN,25
Endothelial,LDB2,26
Endothelial,PLPP1,27
Endothelial,AFF3,28
Endothelial,LINC00486,29
Endothelial,LHFPL6,30
Endothelial,RBMS3,31
Endothelial,MYRIP,32
Endothelial,FLI1,33
Endothelial,TACC1,34
Endothelial,TIMP3,35
Endothelial,ST6GAL1,36
Endothelial,IGF1R,37
Endothelial,EPAS1,38
Endothelial,INSR,39
Endothelial,CRIM1,40
Endothelial,SPTBN1,41
Endothelial,FOXP1,42
Endothelial,DOCK9,43
Endothelial,PRKCH,44
Endothelial,FTX,45
Endothelial,ARGLU1,46
Endothelial,ANO2,47
Endothelial,GPCPD1,48
Endothelial,ZBTB16,49
Endothelial,JMJD1C,50
Endothelial,PIK3R3,51
Endothelial,TCF4,52
Endothelial,NKAIN2,53
Endothelial,PELI1,54
Endothelial,PTPRB,55
Endothelial,TBC1D4,56
Endothelial,CCNY,57
Endothelial,WWTR1,58
Endothelial,RAPGEF2,59
Endothelial,AKAP12,60
Endothelial,PRRC2C,61
Endothelial,XIST,62
Endothelial,ZBTB20,63
Endothelial,NALF1,64
Endothelial,SORBS2,65
Endothelial,SORBS1,66
Endothelial,PLCB4,67
Endothelial,NCOA1,68
Endothelial,MT-CO1,69
Endothelial,ABCG2,70
Endothelial,MAST4,71
Endothelial,RORA,72
Endothelial,DKK2,73
Endothelial,LINC02147,74
Endothelial,TJP1,75
Endothelial,APBB2,76
Endothelial,PLEKHG1,77
Endothelial,ENSG00000236283,78
Endothelial,SGMS1,79
Endothelial,SLC7A5,80
Endothelial,SOX5,81
Endothelial,ENSG00000291073,82
Endothelial,LUC7L3,83
Endothelial,GALNT18,84
Endothelial,AUTS2,85
Endothelial,TTC28,86
Endothelial,ARHGAP26,87
Endothelial,PITPNC1,88
Endothelial,SLC26A3,89
Endothelial,ESYT2,90
Endothelial,LIMCH1,91
Endothelial,BBS9,92
Endothelial,RPGR,93
Endothelial,SYNE2,94
Endothelial,QKI,95
Endothelial,CGNL1,96
Endothelial,PCDH9,97
Endothelial,TSHZ2,98
Endothelial,MRTFB,99
Endothelial,NEBL,100
Ependymal Epithelial Cell,MALAT1,1
Ependymal Epithelial Cell,TRPM3,2
Ependymal Epithelial Cell,HTR2C,3
Ependymal Epithelial Cell,SYNE1,4
Ependymal Epithelial Cell,CFAP46,5
Ependymal Epithelial Cell,DPP10,6
Ependymal Epithelial Cell,KAZN,7
Ependymal Epithelial Cell,GRM8,8
Ependymal Epithelial Cell,NWD1,9
Ependymal Epithelial Cell,DPP6,10
Ependymal Epithelial Cell,HSP90AA1,11
Ependymal Epithelial Cell,STOX2,12
Ependymal Epithelial Cell,AGBL4,13
Ependymal Epithelial Cell,CRPPA,14
Ependymal Epithelial Cell,MT-CO2,15
Ependymal Epithelial Cell,MSI2,16
Ependymal Epithelial Cell,ENSG00000258312,17
Ependymal Epithelial Cell,RBM47,18
Ependymal Epithelial Cell,PNISR,19
Ependymal Epithelial Cell,CFAP54,20
Ependymal Epithelial Cell,DYNC2I1,21
Ependymal Epithelial Cell,WWOX,22
Ependymal Epithelial Cell,PTPRG,23
Ependymal Epithelial Cell,DNAH9,24
Ependymal Epithelial Cell,PDZD2,25
Ependymal Epithelial Cell,NEAT1,26
Ependymal Epithelial Cell,PRLR,27
Ependymal Epithelial Cell,TRMT9B,28
Ependymal Epithelial Cell,SYNE2,29
Ependymal Epithelial Cell,SHANK2,30
Ependymal Epithelial Cell,SH3D19,31
Ependymal Epithelial Cell,MT-CO1,32
Ependymal Epithelial Cell,CFAP299,33
Ependymal Epithelial Cell,HDAC9,34
Ependymal Epithelial Cell,LUC7L3,35
Ependymal Epithelial Cell,RPGR,36
Ependymal Epithelial Cell,SLC13A4,37
Ependymal Epithelial Cell,MAPK10,38
Ependymal Epithelial Cell,OTX2-AS1,39
Ependymal Epithelial Cell,TSC22D1,40
Ependymal Epithelial Cell,EIF4G3,41
Ependymal Epithelial Cell,PLD5,42
Ependymal Epithelial Cell,PRKG1,43
Ependymal Epithelial Cell,MT-CO3,44
Ependymal Epithelial Cell,GALNT17,45
Ependymal Epithelial Cell,PITPNC1,46
Ependymal Epithelial Cell,TMEM232,47
Ependymal Epithelial Cell,RBM25,48
Ependymal Epithelial Cell,LDLRAD4,49
Ependymal Epithelial Cell,TENM2,50
Ependymal Epithelial Cell,PHACTR2,51
Ependymal Epithelial Cell,PDZRN3,52
Ependymal Epithelial Cell,MT-ND4,53
Ependymal Epithelial Cell,HYDIN,54
Ependymal Epithelial Cell,RORA,55
Ependymal Epithelial Cell,GPM6A,56
Ependymal Epithelial Cell,MIR99AHG,57
Ependymal Epithelial Cell,LINC00276,58
Ependymal Epithelial Cell,PCAT1,59
Ependymal Epithelial Cell,ATP2B2,60
Ependymal Epithelial Cell,AHCYL2,61
Ependymal Epithelial Cell,MAGI2,62
Ependymal Epithelial Cell,LINC00598,63
Ependymal Epithelial Cell,DNAH11,64
Ependymal Epithelial Cell,KIAA1217,65
Ependymal Epithelial Cell,RABGAP1L,66
Ependymal Epithelial Cell,GOLGA4,67
Ependymal Epithelial Cell,PNN,68
Ependymal Epithelial Cell,C8ORF34,69
Ependymal Epithelial Cell,DST,70
Ependymal Epithelial Cell,NRG3,71
Ependymal Epithelial Cell,TNRC6A,72
Ependymal Epithelial Cell,VAT1L,73
Ependymal Epithelial Cell,CLIC6,74
Ependymal Epithelial Cell,TMEM117,75
Ependymal Epithelial Cell,SULF1,76
Ependymal Epithelial Cell,PIP5K1B,77
Ependymal Epithelial Cell,SLC4A10,78
Ependymal Epithelial Cell,MAGI1,79
Ependymal Epithelial Cell,SLC20A2,80
Ependymal Epithelial Cell,ENSG00000228655,81
Ependymal Epithelial Cell,ZBTB20,82
Ependymal Epithelial Cell,NPAS3,83
Ependymal Epithelial Cell,RFX3,84
Ependymal Epithelial Cell,SPAG17,85
Ependymal Epithelial Cell,ENPP2,86
Ependymal Epithelial Cell,PLEKHA5,87
Ependymal Epithelial Cell,CUX2,88
Ependymal Epithelial Cell,NFIA,89
Ependymal Epithelial Cell,DNAH7,90
Ependymal Epithelial Cell,SORBS1,91
Ependymal Epithelial Cell,PRDM16,92
Ependymal Epithelial Cell,CACNB2,93
Ependymal Epithelial Cell,MACF1,94
Ependymal Epithelial Cell,FGFR2,95
Ependymal Epithelial Cell,ROR2,96
Ependymal Epithelial Cell,DNAH6,97
Ependymal Epithelial Cell,NLGN1,98
Ependymal Epithelial Cell,ATXN1,99
Ependymal Epithelial Cell,ARGLU1,100
Fibroblast,MALAT1,1
Fibroblast,CEMIP,2
Fibroblast,RORA,3
Fibroblast,MIR99AHG,4
Fibroblast,LAMA2,5
Fibroblast,KAZN,6
Fibroblast,KCNMA1,7
Fibroblast,RBMS3,8
Fibroblast,NEAT1,9
Fibroblast,FOXP1,10
Fibroblast,GPC6,11
Fibroblast,AKAP12,12
Fibroblast,LRP1B,13
Fibroblast,ZBTB20,14
Fibroblast,SLC4A4,15
Fibroblast,DLG2,16
Fibroblast,BICC1,17
Fibroblast,NTRK3,18
Fibroblast,FLRT2,19
Fibroblast,RNF220,20
Fibroblast,FTX,21
Fibroblast,BNC2,22
Fibroblast,NFIA,23
Fibroblast,THSD4,24
Fibroblast,PARD3,25
Fibroblast,AUTS2,26
Fibroblast,SORBS1,27
Fibroblast,USP53,28
Fibroblast,ADAMTSL3,29
Fibroblast,PRKG1,30
Fibroblast,SAMD4A,31
Fibroblast,ZEB1,32
Fibroblast,COLEC12,33
Fibroblast,UACA,34
Fibroblast,PDE4D,35
Fibroblast,PTGDS,36
Fibroblast,FBXL7,37
Fibroblast,SLC38A4-AS1,38
Fibroblast,LINC00486,39
Fibroblast,WWOX,40
Fibroblast,LHFPL6,41
Fibroblast,ATP1B3,42
Fibroblast,FMNL2,43
Fibroblast,TRIO,44
Fibroblast,CALD1,45
Fibroblast,MIR100HG,46
Fibroblast,SVIL,47
Fibroblast,TRPM3,48
Fibroblast,TJP1,49
Fibroblast,PDZRN4,50
Fibroblast,LPP,51
Fibroblast,SPTBN1,52
Fibroblast,SLC26A2,53
Fibroblast,TACC1,54
Fibroblast,LINC01088,55
Fibroblast,CELF2,56
Fibroblast,ABCA9,57
Fibroblast,TPM1,58
Fibroblast,CACNA2D3,59
Fibroblast,PARD3B,60
Fibroblast,UNC5C,61
Fibroblast,DST,62
Fibroblast,CACNB2,63
Fibroblast,MDGA2,64
Fibroblast,PRKCA,65
Fibroblast,PDZRN3,66
Fibroblast,SETBP1,67
Fibroblast,NLGN1,68
Fibroblast,MAGI2,69
Fibroblast,JMJD1C,70
Fibroblast,EBF1,71
Fibroblast,EPS8,72
Fibroblast,AHCYL2,73
Fibroblast,PITPNC1,74
Fibroblast,NAV2,75
Fibroblast,EXT1,76
Fibroblast,SGIP1,77
Fibroblast,MACF1,78
Fibroblast,IMMP2L,79
Fibroblast,GMDS,80
Fibroblast,SASH1,81
Fibroblast,C8ORF34,82
Fibroblast,PHLDB2,83
Fibroblast,PLXDC2,84
Fibroblast,LDLRAD4,85
Fibroblast,KCNT2,86
Fibroblast,BACH2,87
Fibroblast,SLIT2,88
Fibroblast,LINC-PINT,89
Fibroblast,HSP90AA1,90
Fibroblast,ENSG00000243620,91
Fibroblast,SLC7A11,92
Fibroblast,ANKH,93
Fibroblast,COL4A1,94
Fibroblast,ZSWIM6,95
Fibroblast,LINC02147,96
Fibroblast,TIMP3,97
Fibroblast,ESYT2,98
Fibroblast,PLCB4,99
Fibroblast,TMEM132C,100
Microglia Macrophage or T Cell,MALAT1,1
Microglia Macrophage or T Cell,FRMD4A,2
Microglia Macrophage or T Cell,PLXDC2,3
Microglia Macrophage or T Cell,DOCK4,4
Microglia Macrophage or T Cell,LRMDA,5
Microglia Macrophage or T Cell,C3,6
Microglia Macrophage or T Cell,LINC02798,7
Microglia Macrophage or T Cell,ABR,8
Microglia Macrophage or T Cell,SFMBT2,9
Microglia Macrophage or T Cell,SYNDIG1,10
Microglia Macrophage or T Cell,ITPR2,11
Microglia Macrophage or T Cell,NEAT1,12
Microglia Macrophage or T Cell,FOXN3,13
Microglia Macrophage or T Cell,ARHGAP24,14
Microglia Macrophage or T Cell,KCNQ3,15
Microglia Macrophage or T Cell,APBB1IP,16
Microglia Macrophage or T Cell,ST6GAL1,17
Microglia Macrophage or T Cell,ADAMTSL2,18
Microglia Macrophage or T Cell,EPB41L2,19
Microglia Macrophage or T Cell,SRRM2,20
Microglia Macrophage or T Cell,LDLRAD4,21
Microglia Macrophage or T Cell,ELMO1,22
Microglia Macrophage or T Cell,HSP90AA1,23
Microglia Macrophage or T Cell,QKI,24
Microglia Macrophage or T Cell,RBM25,25
Microglia Macrophage or T Cell,LINC00486,26
Microglia Macrophage or T Cell,LUC7L3,27
Microglia Macrophage or T Cell,MYO1F,28
Microglia Macrophage or T Cell,ST6GALNAC3,29
Microglia Macrophage or T Cell,GRID2,30
Microglia Macrophage or T Cell,INPP5D,31
Microglia Macrophage or T Cell,PRRC2C,32
Microglia Macrophage or T Cell,MACF1,33
Microglia Macrophage or T Cell,SSH2,34
Microglia Macrophage or T Cell,PCDH9,35
Microglia Macrophage or T Cell,DOCK8,36
Microglia Macrophage or T Cell,CSF2RA,37
Microglia Macrophage or T Cell,MEF2A,38
Microglia Macrophage or T Cell,AOAH,39
Microglia Macrophage or T Cell,SPP1,40
Microglia Macrophage or T Cell,CELF2,41
Microglia Macrophage or T Cell,PTPRJ,42
Microglia Macrophage or T Cell,MEF2C,43
Microglia Macrophage or T Cell,DLEU1,44
Microglia Macrophage or T Cell,SLC9A9,45
Microglia Macrophage or T Cell,FMNL2,46
Microglia Macrophage or T Cell,SORL1,47
Microglia Macrophage or T Cell,MT-CO3,48
Microglia Macrophage or T Cell,CYFIP1,49
Microglia Macrophage or T Cell,RYR1,50
Microglia Macrophage or T Cell,ZFHX3,51
Microglia Macrophage or T Cell,RASGEF1C,52
Microglia Macrophage or T Cell,SRGAP2,53
Microglia Macrophage or T Cell,ZSWIM6,54
Microglia Macrophage or T Cell,ARGLU1,55
